Centro,Distrito Centro,Tramo Edad,Proceso,N_demandas
CSS Badalona,FUENCARRAL-EL PARDO,70 - 74,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,1
CSS Badalona,FUENCARRAL-EL PARDO,70 - 74,TELEASISTENCIA MAYORES ASP,1
CSS Badalona,FUENCARRAL-EL PARDO,75 - 79,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Badalona,FUENCARRAL-EL PARDO,75 - 79,TELEASISTENCIA MAYORES ASP,1
CSS Badalona,FUENCARRAL-EL PARDO,75 - 79,TELEASISTENCIA MAYORES DEPENDENCIA,1
CSS Badalona,FUENCARRAL-EL PARDO,80 - 84,TELEASISTENCIA MAYORES ASP,3
CSS Badalona,FUENCARRAL-EL PARDO,>=85,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),2
CSS Badalona,FUENCARRAL-EL PARDO,>=85,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,5
CSS Badalona,FUENCARRAL-EL PARDO,>=85,TELEASISTENCIA MAYORES ASP,5
CSS Badalona,FUENCARRAL-EL PARDO,>=85,TELEASISTENCIA MAYORES DEPENDENCIA,2
CSS Calahorra,VICÁLVARO, ,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,9
CSS Calahorra,VICÁLVARO, ,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,16
CSS Calahorra,VICÁLVARO, ,APARTAMENTOS MUNICIPALES DE MAYORES,1
CSS Calahorra,VICÁLVARO, ,APOYO SOCIOEDUCATIVO Y PRELABORAL ADOLESCENTES (ASPA),14
CSS Calahorra,VICÁLVARO, ,APOYO VOLUNTARIO,1
CSS Calahorra,VICÁLVARO, ,ASOCIACIONES ONG,7
CSS Calahorra,VICÁLVARO, ,ATENCIÓN PSICOLOGICA,1
CSS Calahorra,VICÁLVARO, ,AYUDA COMEDOR ESCOLAR,45
CSS Calahorra,VICÁLVARO, ,AYUDA COMEDOR MAYORES,2
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA ACTIVIDADES PREVENTIVAS PARA MENORES,1
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA COMEDOR ESCOLAR,58
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA COMEDOR PARA MAYORES,2
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA ESCUELA INFANTIL,3
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,13
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,159
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,8
CSS Calahorra,VICÁLVARO, ,AYUDA ECONÓMICA PEQUEÑAS REPARACIONES DE VIVIENDA HABITUAL Y AYUDAS TÉCNICAS,2
CSS Calahorra,VICÁLVARO, ,AYUDA ESCUELA INFANTIL,2
CSS Calahorra,VICÁLVARO, ,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,1
CSS Calahorra,VICÁLVARO, ,AYUDAS ACONDICIONAMIENTO GERIATRICO,2
CSS Calahorra,VICÁLVARO, ,BECAS COMEDOR ESCOLAR CM,1
CSS Calahorra,VICÁLVARO, ,CAMA ARTICULADA,6
CSS Calahorra,VICÁLVARO, ,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,17
CSS Calahorra,VICÁLVARO, ,CENTRO DE APOYO A LA FAMILIA,2
CSS Calahorra,VICÁLVARO, ,CENTRO DE ATENCION INFANCIA (CAI),3
CSS Calahorra,VICÁLVARO, ,CENTRO DE ATENCION SOCIAL A MUJERES,1
CSS Calahorra,VICÁLVARO, ,CENTRO DE DIA PARA MENORES (CRUZ ROJA),1
CSS Calahorra,VICÁLVARO, ,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),4
CSS Calahorra,VICÁLVARO, ,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),2
CSS Calahorra,VICÁLVARO, ,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),6
CSS Calahorra,VICÁLVARO, ,CENTRO DE DÍA DEPENDENCIA (PERSONAS CON DETERIORO FÍSICO O RELACIONAL),3
CSS Calahorra,VICÁLVARO, ,CENTRO DE MAYORES CM,1
CSS Calahorra,VICÁLVARO, ,CENTROS ABIERTOS ,1
CSS Calahorra,VICÁLVARO, ,CENTROS MUNICIPALES MAYORES,1
CSS Calahorra,VICÁLVARO, ,COBERTURA NECESIDADES BASICAS,81
CSS Calahorra,VICÁLVARO, ,COMIDA A DOMICILIO,15
CSS Calahorra,VICÁLVARO, ,CUIDAR A QUIENES CUIDAN,1
CSS Calahorra,VICÁLVARO, ,DEPENDENCIA CM,295
CSS Calahorra,VICÁLVARO, ,EDUCACIÓN / CULTURA CM,14
CSS Calahorra,VICÁLVARO, ,EDUCADOR SOCIAL,20
CSS Calahorra,VICÁLVARO, ,GRÚA,3
CSS Calahorra,VICÁLVARO, ,INGRESO MÍNIMO VITAL,194
CSS Calahorra,VICÁLVARO, ,PENSION NO CONTRIBUTIVA CM,11
CSS Calahorra,VICÁLVARO, ,PISOS TUTELADOS MAYORES CM,2
CSS Calahorra,VICÁLVARO, ,PROYECTOS PROPIOS DEL DISTRITO,4
CSS Calahorra,VICÁLVARO, ,RENTA MINÍMA DE INSERCIÓN,141
CSS Calahorra,VICÁLVARO, ,RESIDENCIA DEPENDENCIA (MAYORES ENFERMOS ALZHEIMER U OTRAS DEMENCIAS),7
CSS Calahorra,VICÁLVARO, ,RESIDENCIA MAYORES AUTONOMOS CM,2
CSS Calahorra,VICÁLVARO, ,RESIDENCIA MAYORES DE EMERGENCIA SOCIAL,1
CSS Calahorra,VICÁLVARO, ,RESIDENCIA MUJERES CM,1
CSS Calahorra,VICÁLVARO, ,RESIDENCIA TEMPORAL MAYORES CM,12
CSS Calahorra,VICÁLVARO, ,SALUD Y SEGURIDAD SOCIAL CM,7
CSS Calahorra,VICÁLVARO, ,SERCAF MENORES,10
CSS Calahorra,VICÁLVARO, ,SERV. ATENCIÓN MUJERES MALTRATADAS (SAVD),7
CSS Calahorra,VICÁLVARO, ,SERVICIO  FISIOTERAPIA PREVENTIVA,1
CSS Calahorra,VICÁLVARO, ,SERVICIO AYUDA A DOMICILIO DISCAPACITADOS DEPENDENCIA,4
CSS Calahorra,VICÁLVARO, ,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,98
CSS Calahorra,VICÁLVARO, ,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,108
CSS Calahorra,VICÁLVARO, ,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,2
CSS Calahorra,VICÁLVARO, ,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,12
CSS Calahorra,VICÁLVARO, ,TELEASISTENCIA DISCAPACITADOS ASP,2
CSS Calahorra,VICÁLVARO, ,TELEASISTENCIA DISCAPACITADOS DEPENDENCIA,4
CSS Calahorra,VICÁLVARO, ,TELEASISTENCIA MAYORES ASP,29
CSS Calahorra,VICÁLVARO, ,TELEASISTENCIA MAYORES DEPENDENCIA,13
CSS Calahorra,VICÁLVARO, ,TRABAJO Y EMPLEO,22
CSS Calahorra,VICÁLVARO, ,TUTELA ORDINARIA                               ,1
CSS Calahorra,VICÁLVARO, ,VIVIENDA,50
CSS Calahorra,VICÁLVARO,0 - 3,COBERTURA NECESIDADES BASICAS,1
CSS Calahorra,VICÁLVARO,18 - 24,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,1
CSS Calahorra,VICÁLVARO,18 - 24,APOYO SOCIOEDUCATIVO Y PRELABORAL ADOLESCENTES (ASPA),2
CSS Calahorra,VICÁLVARO,18 - 24,AYUDA COMEDOR ESCOLAR,1
CSS Calahorra,VICÁLVARO,18 - 24,AYUDA ECONÓMICA COMEDOR ESCOLAR,1
CSS Calahorra,VICÁLVARO,18 - 24,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,2
CSS Calahorra,VICÁLVARO,18 - 24,AYUDA PAGO NECESIDADES DE ALOJAMIENTO,1
CSS Calahorra,VICÁLVARO,18 - 24,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,2
CSS Calahorra,VICÁLVARO,18 - 24,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,2
CSS Calahorra,VICÁLVARO,18 - 24,COBERTURA NECESIDADES BASICAS,19
CSS Calahorra,VICÁLVARO,18 - 24,DEPENDENCIA CM,1
CSS Calahorra,VICÁLVARO,18 - 24,EDUCACIÓN / CULTURA CM,5
CSS Calahorra,VICÁLVARO,18 - 24,INGRESO MÍNIMO VITAL,2
CSS Calahorra,VICÁLVARO,18 - 24,PENSION NO CONTRIBUTIVA CM,3
CSS Calahorra,VICÁLVARO,18 - 24,PROYECTOS PROPIOS DEL DISTRITO,2
CSS Calahorra,VICÁLVARO,18 - 24,RENTA MINÍMA DE INSERCIÓN,2
CSS Calahorra,VICÁLVARO,18 - 24,SALUD Y SEGURIDAD SOCIAL CM,2
CSS Calahorra,VICÁLVARO,18 - 24,TRABAJO Y EMPLEO,7
CSS Calahorra,VICÁLVARO,18 - 24,TRABAJO Y EMPLEO CM,1
CSS Calahorra,VICÁLVARO,18 - 24,VIVIENDA,10
CSS Calahorra,VICÁLVARO,25 - 29,ARRAIGO SOCIAL  ,1
CSS Calahorra,VICÁLVARO,25 - 29,ASOCIACIONES ONG,1
CSS Calahorra,VICÁLVARO,25 - 29,AYUDA COMEDOR ESCOLAR,9
CSS Calahorra,VICÁLVARO,25 - 29,AYUDA ECONÓMICA COMEDOR ESCOLAR,1
CSS Calahorra,VICÁLVARO,25 - 29,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,1
CSS Calahorra,VICÁLVARO,25 - 29,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,3
CSS Calahorra,VICÁLVARO,25 - 29,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Calahorra,VICÁLVARO,25 - 29,COBERTURA NECESIDADES BASICAS,26
CSS Calahorra,VICÁLVARO,25 - 29,DEPENDENCIA CM,1
CSS Calahorra,VICÁLVARO,25 - 29,EDUCACIÓN / CULTURA CM,1
CSS Calahorra,VICÁLVARO,25 - 29,INGRESO MÍNIMO VITAL,1
CSS Calahorra,VICÁLVARO,25 - 29,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Calahorra,VICÁLVARO,25 - 29,PENSION NO CONTRIBUTIVA CM,1
CSS Calahorra,VICÁLVARO,25 - 29,PROYECTOS PROPIOS DEL DISTRITO,2
CSS Calahorra,VICÁLVARO,25 - 29,RENTA MINÍMA DE INSERCIÓN,3
CSS Calahorra,VICÁLVARO,25 - 29,SALUD Y SEGURIDAD SOCIAL CM,4
CSS Calahorra,VICÁLVARO,25 - 29,SERV. ATENCIÓN MUJERES MALTRATADAS (SAVD),1
CSS Calahorra,VICÁLVARO,25 - 29,TRABAJO Y EMPLEO,4
CSS Calahorra,VICÁLVARO,25 - 29,VIVIENDA,8
CSS Calahorra,VICÁLVARO,30 - 34,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,1
CSS Calahorra,VICÁLVARO,30 - 34,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Calahorra,VICÁLVARO,30 - 34,APOYO SOCIOEDUCATIVO Y PRELABORAL ADOLESCENTES (ASPA),1
CSS Calahorra,VICÁLVARO,30 - 34,AYUDA COMEDOR ESCOLAR,11
CSS Calahorra,VICÁLVARO,30 - 34,AYUDA ECONÓMICA COMEDOR ESCOLAR,3
CSS Calahorra,VICÁLVARO,30 - 34,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,1
CSS Calahorra,VICÁLVARO,30 - 34,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,4
CSS Calahorra,VICÁLVARO,30 - 34,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Calahorra,VICÁLVARO,30 - 34,COBERTURA NECESIDADES BASICAS,44
CSS Calahorra,VICÁLVARO,30 - 34,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Calahorra,VICÁLVARO,30 - 34,DEPENDENCIA CM,4
CSS Calahorra,VICÁLVARO,30 - 34,EDUCACIÓN / CULTURA CM,8
CSS Calahorra,VICÁLVARO,30 - 34,INGRESO MÍNIMO VITAL,4
CSS Calahorra,VICÁLVARO,30 - 34,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,3
CSS Calahorra,VICÁLVARO,30 - 34,RENTA MINÍMA DE INSERCIÓN,5
CSS Calahorra,VICÁLVARO,30 - 34,SALUD Y SEGURIDAD SOCIAL CM,5
CSS Calahorra,VICÁLVARO,30 - 34,TRABAJO Y EMPLEO,10
CSS Calahorra,VICÁLVARO,30 - 34,VIVIENDA,11
CSS Calahorra,VICÁLVARO,35 - 39,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,5
CSS Calahorra,VICÁLVARO,35 - 39,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,2
CSS Calahorra,VICÁLVARO,35 - 39,ASOCIACIONES ONG,2
CSS Calahorra,VICÁLVARO,35 - 39,AYUDA COMEDOR ESCOLAR,14
CSS Calahorra,VICÁLVARO,35 - 39,AYUDA ECONÓMICA COMEDOR ESCOLAR,1
CSS Calahorra,VICÁLVARO,35 - 39,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,1
CSS Calahorra,VICÁLVARO,35 - 39,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,1
CSS Calahorra,VICÁLVARO,35 - 39,CENTRO DE DIA PARA MENORES (CRUZ ROJA),1
CSS Calahorra,VICÁLVARO,35 - 39,COBERTURA NECESIDADES BASICAS,37
CSS Calahorra,VICÁLVARO,35 - 39,DEPENDENCIA CM,3
CSS Calahorra,VICÁLVARO,35 - 39,EDUCACIÓN / CULTURA CM,2
CSS Calahorra,VICÁLVARO,35 - 39,INFORME SOCIAL GENERAL,1
CSS Calahorra,VICÁLVARO,35 - 39,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,1
CSS Calahorra,VICÁLVARO,35 - 39,PENSION NO CONTRIBUTIVA CM,3
CSS Calahorra,VICÁLVARO,35 - 39,SALUD Y SEGURIDAD SOCIAL CM,3
CSS Calahorra,VICÁLVARO,35 - 39,TITULO FAMILIA NUMEROSA CM,1
CSS Calahorra,VICÁLVARO,35 - 39,TRABAJO Y EMPLEO,10
CSS Calahorra,VICÁLVARO,35 - 39,TUTELA ORDINARIA                               ,1
CSS Calahorra,VICÁLVARO,35 - 39,VIVIENDA,9
CSS Calahorra,VICÁLVARO,35 - 39,VIVIENDA CM,2
CSS Calahorra,VICÁLVARO,4 - 11,DEPENDENCIA CM,1
CSS Calahorra,VICÁLVARO,40 - 44,ACTIVIDADES DE OCIO Y TIEMPO LIBRE,4
CSS Calahorra,VICÁLVARO,40 - 44,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,3
CSS Calahorra,VICÁLVARO,40 - 44,APOYO SOCIOEDUCATIVO Y PRELABORAL ADOLESCENTES (ASPA),2
CSS Calahorra,VICÁLVARO,40 - 44,ASOCIACIONES ONG,1
CSS Calahorra,VICÁLVARO,40 - 44,AYUDA COMEDOR ESCOLAR,10
CSS Calahorra,VICÁLVARO,40 - 44,AYUDA ECONÓMICA COMEDOR ESCOLAR,2
CSS Calahorra,VICÁLVARO,40 - 44,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,2
CSS Calahorra,VICÁLVARO,40 - 44,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,1
CSS Calahorra,VICÁLVARO,40 - 44,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,3
CSS Calahorra,VICÁLVARO,40 - 44,CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE,2
CSS Calahorra,VICÁLVARO,40 - 44,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,2
CSS Calahorra,VICÁLVARO,40 - 44,COBERTURA NECESIDADES BASICAS,35
CSS Calahorra,VICÁLVARO,40 - 44,CURSOS Y ACTIVIDADES DE FORMACIÓN,1
CSS Calahorra,VICÁLVARO,40 - 44,DEPENDENCIA CM,4
CSS Calahorra,VICÁLVARO,40 - 44,EDUCACIÓN / CULTURA CM,1
CSS Calahorra,VICÁLVARO,40 - 44,INFORME SOCIAL FISCALIA INCAPACITACIONES DE ADULTOS,1
CSS Calahorra,VICÁLVARO,40 - 44,INGRESO MÍNIMO VITAL,3
CSS Calahorra,VICÁLVARO,40 - 44,PENSION NO CONTRIBUTIVA CM,1
CSS Calahorra,VICÁLVARO,40 - 44,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Calahorra,VICÁLVARO,40 - 44,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Calahorra,VICÁLVARO,40 - 44,SERCAF MENORES,1
CSS Calahorra,VICÁLVARO,40 - 44,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,1
CSS Calahorra,VICÁLVARO,40 - 44,TRABAJO Y EMPLEO,9
CSS Calahorra,VICÁLVARO,40 - 44,TRABAJO Y EMPLEO CM,1
CSS Calahorra,VICÁLVARO,40 - 44,TUTELA ORDINARIA                               ,1
CSS Calahorra,VICÁLVARO,40 - 44,VIVIENDA,7
CSS Calahorra,VICÁLVARO,45 - 49,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Calahorra,VICÁLVARO,45 - 49,AYUDA COMEDOR ESCOLAR,2
CSS Calahorra,VICÁLVARO,45 - 49,AYUDA COMEDOR MAYORES,1
CSS Calahorra,VICÁLVARO,45 - 49,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,2
